 - Domingo, 19 de Março de 2017 - 177.27.237.119 - Windows 7 - Chrome -  -  -  - Brazil
 - Domingo, 19 de Março de 2017 - 187.79.5.112 - Windows 7 - Chrome -  - Maranh&atilde;o - Imperatriz - Brazil
 - Domingo, 19 de Março de 2017 - 187.79.5.112 - Windows 7 - Chrome -  - Maranh&atilde;o - Imperatriz - Brazil
 - Domingo, 19 de Março de 2017 - 187.79.5.112 - Windows 7 - Chrome -  - Maranh&atilde;o - Imperatriz - Brazil
 - Domingo, 19 de Março de 2017 - 152.254.30.228 - Windows 7 - Chrome -  -  -  - Brazil
 - Domingo, 19 de Março de 2017 - 201.75.87.40 - Windows 7 - Chrome -  - Estado do Amazonas - Manaus - Brazil
 - Domingo, 19 de Março de 2017 - 177.1.38.227 - Unknown OS Platform - Chrome -  - Paran&aacute; - Curitiba - Brazil
 - Domingo, 19 de Março de 2017 - 187.182.49.2 - Android - Handheld Browser -  - S&atilde;o Paulo - Guarulhos - Brazil
 - Domingo, 19 de Março de 2017 - 189.103.147.211 - Unknown OS Platform - Chrome -  - Paran&aacute; - Londrina - Brazil
 - Domingo, 19 de Março de 2017 - 187.79.5.112 - Windows 7 - Chrome -  - Maranh&atilde;o - Imperatriz - Brazil
 - Domingo, 19 de Março de 2017 - 201.79.118.155 - Unknown OS Platform - Chrome -  - Piau&iacute; - Teresina - Brazil
 - Domingo, 19 de Março de 2017 - 189.31.194.219 - iPhone - Handheld Browser -  - Paran&aacute; - S&atilde;o Jos&eacute; Dos Pinhais - Brazil
 - Domingo, 19 de Março de 2017 - 187.56.23.152 - Windows 7 - Chrome -  - S&atilde;o Paulo - Ol&iacute;mpia - Brazil
 - Domingo, 19 de Março de 2017 - 187.114.94.232 - Unknown OS Platform - Chrome -  - S&atilde;o Paulo - Sorocaba - Brazil
 - Domingo, 19 de Março de 2017 - 177.133.123.94 - Unknown OS Platform - Chrome -  - Pernambuco - Recife - Brazil
 - Domingo, 19 de Março de 2017 - 191.17.172.84 - Windows 7 - Chrome -  - S&atilde;o Paulo - Leme - Brazil
 - Domingo, 19 de Março de 2017 - 187.79.5.112 - Windows 7 - Chrome -  - Maranh&atilde;o - Imperatriz - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 187.56.119.238 - Windows 7 - Chrome -  - S&atilde;o Paulo - Diadema - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 189.12.134.178 - Unknown OS Platform - Chrome -  - Minas Gerais - Contagem - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 179.111.74.96 - Windows 7 - Firefox -  -  -  - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 187.79.5.112 - Windows 7 - Chrome -  - Maranh&atilde;o - Imperatriz - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 189.105.6.62 - Windows 7 - Chrome -  -  -  - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 187.44.37.64 - iPad - Handheld Browser -  - Minas Gerais - Montes Claros - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 179.176.104.252 - Unknown OS Platform - Chrome -  - Estado de Goi&aacute;s - Senador Canedo - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 200.163.130.216 - Windows 7 - Chrome -  - Rio Grande do Sul - Pelotas - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 191.241.32.12 - Windows 7 - Firefox -  - Cear&aacute; - Caucaia - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 187.38.140.173 - Windows 7 - Chrome -  - S&atilde;o Paulo -  - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 200.180.238.174 - Unknown OS Platform - Chrome -  - Rio Grande do Sul - Tapes - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 200.180.238.174 - Unknown OS Platform - Chrome -  - Rio Grande do Sul - Tapes - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 177.104.235.193 - Windows 7 - Chrome -  - Rio de Janeiro -  - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 201.3.118.50 - Windows 7 - Firefox -  - Paran&aacute; - Foz Do Igua&ccedil;u - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 177.22.165.198 - Windows XP - Chrome -  - Rio Grande do Sul - Porto Alegre - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 177.3.216.112 - Android - Handheld Browser -  -  -  - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 168.195.165.2 - Windows 7 - Chrome -  - Pernambuco - Garanhuns - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 179.127.39.229 - Windows 7 - Chrome -  - Pernambuco - Belo Jardim - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 189.10.221.197 - Windows 7 - Firefox -  - Rio Grande do Sul - Porto Alegre - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 179.197.59.207 - Windows 7 - Chrome -  - Bahia - Paulo Afonso - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 131.0.88.30 - Windows 7 - Chrome -  - Bahia -  - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 201.77.122.5 - Windows 7 - Chrome -  - S&atilde;o Paulo - Campinas - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 187.79.5.112 - Windows 7 - Chrome -  - Maranh&atilde;o - Imperatriz - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 187.79.5.112 - Windows 7 - Chrome -  - Maranh&atilde;o - Imperatriz - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 179.210.117.148 - Android - Handheld Browser -  - Rio de Janeiro - Rio De Janeiro - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 177.180.132.233 - Windows 7 - Chrome -  - Bahia - Salvador - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 179.197.143.184 - Windows 7 - Chrome -  -  -  - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 189.59.176.214 - Windows 7 - Chrome -  - Minas Gerais - Belo Horizonte - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 189.107.124.219 - Windows 7 - Chrome -  - Minas Gerais - Ipatinga - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 177.72.177.38 - Windows 7 - Chrome -  - Sergipe - Itabaianinha - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 187.79.5.112 - Windows 7 - Chrome -  - Maranh&atilde;o - Imperatriz - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 187.79.5.112 - Windows 7 - Chrome -  - Maranh&atilde;o - Imperatriz - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 186.204.179.129 - Unknown OS Platform - Chrome -  - S&atilde;o Paulo -  - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 186.213.55.205 - Windows 7 - Chrome -  - Cear&aacute; - Fortaleza - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 186.213.55.205 - Windows 7 - Chrome -  - Cear&aacute; - Fortaleza - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 201.27.22.148 - Windows 8 - Internet Explorer -  - S&atilde;o Paulo -  - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 177.138.102.221 - Windows XP - Chrome -  - S&atilde;o Paulo - Americana - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 191.186.42.54 - Android - Handheld Browser -  -  -  - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 187.23.21.38 - Windows 7 - Firefox -  - S&atilde;o Paulo - Franca - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 177.92.14.246 - Unknown OS Platform - Chrome -  - Paran&aacute; -  - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 189.79.162.204 - Windows 7 - Chrome -  - S&atilde;o Paulo - Leme - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 179.158.218.29 - Android - Handheld Browser -  - Rio de Janeiro - Rio De Janeiro - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 187.79.5.112 - Windows 7 - Chrome -  - Maranh&atilde;o - Imperatriz - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 177.47.88.26 - Unknown OS Platform - Chrome -  - Piau&iacute; - Teresina - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 177.126.27.211 - Windows 7 - Chrome -  - Santa Catarina -  - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 201.75.171.103 - Windows 8 - Chrome -  - S&atilde;o Paulo - S&atilde;o Jos&eacute; Dos Campos - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 187.54.3.42 - Windows 7 - Chrome -  - Paran&aacute; - Foz Do Igua&ccedil;u - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 200.198.16.49 - Unknown OS Platform - Chrome -  -  -  - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 201.75.171.103 - Windows 8 - Chrome -  - S&atilde;o Paulo -  - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 189.47.36.182 - Windows 7 - Chrome -  - S&atilde;o Paulo -  - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 201.6.143.238 - Android - Handheld Browser -  - S&atilde;o Paulo -  - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 187.6.235.4 - Windows 7 - Chrome -  - Mato Grosso do Sul - Campo Grande - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 177.134.165.24 - Windows 7 - Firefox -  - Bahia - Salvador - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 187.14.204.210 - Android - Chrome -  -  -  - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 189.92.243.95 - iPhone - Handheld Browser -  -  -  - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 189.51.2.214 - Windows 7 - Chrome -  - S&atilde;o Paulo -  - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 152.253.252.56 - Windows 7 - Chrome -  -  -  - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 187.79.5.112 - Windows 7 - Chrome -  - Maranh&atilde;o - Imperatriz - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 187.79.5.112 - Windows 7 - Chrome -  - Maranh&atilde;o - Imperatriz - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 189.38.138.242 - Windows 7 - Chrome -  - S&atilde;o Paulo - Carapicu&iacute;ba - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 170.231.121.132 - Unknown OS Platform - Firefox -  - Minas Gerais -  - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 189.51.2.214 - Windows 7 - Chrome -  - S&atilde;o Paulo -  - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 177.193.29.142 - Windows 7 - Firefox -  - Piau&iacute; - Teresina - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 187.52.94.150 - Unknown OS Platform - Chrome -  - Distrito Federal -  - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 164.85.24.109 - Windows 7 - Firefox -  - Rio Grande do Norte - Natal - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 177.202.229.238 - Windows XP - Chrome -  - Santa Catarina - Navegantes - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 186.213.231.125 - Unknown OS Platform - Chrome -  - Mato Grosso -  - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 189.72.162.204 - Android - Handheld Browser -  -  -  - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 187.41.161.164 - Windows 7 - Chrome -  -  -  - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 187.79.14.232 - Windows 7 - Chrome -  - Maranh&atilde;o - Imperatriz - Brazil
 - Segunda-Feira, 20 de Março de 2017 - 177.158.250.113 - Mac OS X - Chrome -  - Pernambuco - Recife - Brazil
 - Terça-Feira, 21 de Março de 2017 - 201.140.228.131 - iPhone - Handheld Browser -  -  -  - Brazil
 - Terça-Feira, 21 de Março de 2017 - 177.206.41.162 - Windows 7 - Chrome -  - Minas Gerais - Belo Horizonte - Brazil
 - Terça-Feira, 21 de Março de 2017 - 201.88.59.239 - Windows 7 - Firefox -  -  -  - Brazil
 - Terça-Feira, 21 de Março de 2017 - 170.245.64.46 - Windows 7 - Chrome -  -  -  - Brazil
 - Terça-Feira, 21 de Março de 2017 - 187.2.68.140 - Windows 7 - Chrome -  - S&atilde;o Paulo - Santa Barbara - Brazil
 - Terça-Feira, 21 de Março de 2017 - 200.100.101.17 - Unknown OS Platform - Chrome -  -  -  - Brazil
 - Terça-Feira, 21 de Março de 2017 - 177.16.244.18 - Windows 7 - Chrome -  - Bahia - Salvador - Brazil
 - Terça-Feira, 21 de Março de 2017 - 191.220.71.109 - Android - Handheld Browser -  -  -  - Brazil
 - Terça-Feira, 21 de Março de 2017 - 177.79.26.196 - Unknown OS Platform - Chrome -  - S&atilde;o Paulo - S&atilde;o Paulo - Brazil
 - Terça-Feira, 21 de Março de 2017 - 177.79.24.167 - Unknown OS Platform - Chrome -  - S&atilde;o Paulo -  - Brazil
 - Terça-Feira, 21 de Março de 2017 - 177.79.26.196 - Unknown OS Platform - Chrome -  - S&atilde;o Paulo - S&atilde;o Paulo - Brazil
 - Terça-Feira, 21 de Março de 2017 - 177.214.90.151 - Android - Handheld Browser -  -  -  - Brazil
 - Terça-Feira, 21 de Março de 2017 - 187.79.14.232 - Windows 7 - Chrome -  - Maranh&atilde;o - Imperatriz - Brazil
 - Terça-Feira, 21 de Março de 2017 - 177.58.177.86 - Android - Handheld Browser -  - S&atilde;o Paulo -  - Brazil
 - Terça-Feira, 21 de Março de 2017 - 187.79.14.232 - Windows 7 - Chrome -  - Maranh&atilde;o - Imperatriz - Brazil
 - Terça-Feira, 21 de Março de 2017 - 177.138.235.88 - Android - Handheld Browser -  - S&atilde;o Paulo - Santos - Brazil
 - Terça-Feira, 21 de Março de 2017 - 201.4.207.202 - Windows 7 - Chrome -  - Pernambuco - Araripina - Brazil
 - Terça-Feira, 21 de Março de 2017 - 201.4.207.202 - Windows 7 - Chrome -  - Pernambuco - Araripina - Brazil
 - Terça-Feira, 21 de Março de 2017 - 189.121.142.245 - Windows 7 - Chrome -  - S&atilde;o Paulo -  - Brazil
 - Terça-Feira, 21 de Março de 2017 - 168.194.162.243 - Windows 7 - Chrome -  - Paran&aacute; - Ponta Grossa - Brazil
 - Terça-Feira, 21 de Março de 2017 - 189.107.102.95 - Unknown OS Platform - Chrome -  - Minas Gerais - Lavras - Brazil
 - Terça-Feira, 21 de Março de 2017 - 168.194.162.243 - Windows 7 - Chrome -  - Paran&aacute; - Ponta Grossa - Brazil
 - Terça-Feira, 21 de Março de 2017 - 177.103.193.119 - Windows 7 - Chrome -  - S&atilde;o Paulo - Barueri - Brazil
 - Terça-Feira, 21 de Março de 2017 - 189.46.197.90 - Windows 7 - Chrome -  - S&atilde;o Paulo -  - Brazil
 - Terça-Feira, 21 de Março de 2017 - 170.239.93.211 - Unknown OS Platform - Chrome -  -  -  - Brazil
 - Terça-Feira, 21 de Março de 2017 - 187.40.90.215 - Windows 7 - Firefox -  - Maranh&atilde;o - Vargem Grande - Brazil
 - Terça-Feira, 21 de Março de 2017 - 189.5.227.70 - Windows 7 - Chrome -  - S&atilde;o Paulo -  - Brazil
 - Terça-Feira, 21 de Março de 2017 - 152.236.114.110 - iPhone - Handheld Browser -  - Rio de Janeiro - Rio De Janeiro - Brazil
 - Terça-Feira, 21 de Março de 2017 - 200.138.70.13 - Windows 7 - Chrome -  - Paran&aacute; -  - Brazil
 - Terça-Feira, 21 de Março de 2017 - 177.55.37.143 - iPhone - Handheld Browser -  - Paran&aacute; -  - Brazil
 - Terça-Feira, 21 de Março de 2017 - 138.185.103.167 - Unknown OS Platform - Chrome -  - Rio de Janeiro - Niter&oacute;i - Brazil
 - Terça-Feira, 21 de Março de 2017 - 179.244.51.170 - iPhone - Handheld Browser -  -  -  - Brazil
 - Terça-Feira, 21 de Março de 2017 - 177.85.205.10 - Windows 7 - Chrome -  - Bahia - Jacobina - Brazil
 - Terça-Feira, 21 de Março de 2017 - 187.36.111.252 - Unknown OS Platform - Chrome -  - Distrito Federal - Sobradinho - Brazil
 - Terça-Feira, 21 de Março de 2017 - 191.13.26.154 - Windows 7 - Chrome -  -  -  - Brazil
 - Terça-Feira, 21 de Março de 2017 - 201.74.60.110 - Windows 7 - Firefox -  - S&atilde;o Paulo -  - Brazil
 - Terça-Feira, 21 de Março de 2017 - 177.19.213.86 - Windows 7 - Chrome -  -  -  - Brazil
 - Terça-Feira, 21 de Março de 2017 - 187.44.177.226 - Android - Handheld Browser -  - Bahia - Salvador - Brazil
 - Terça-Feira, 21 de Março de 2017 - 177.195.39.193 - Windows 7 - Firefox -  - Rio de Janeiro - Rio De Janeiro - Brazil
 - Terça-Feira, 21 de Março de 2017 - 179.183.125.118 - Windows 7 - Chrome -  - Bahia - Salvador - Brazil
 - Terça-Feira, 21 de Março de 2017 - 177.6.177.207 - Android - Handheld Browser -  - S&atilde;o Paulo -  - Brazil
 - Terça-Feira, 21 de Março de 2017 - 191.189.11.219 - Windows 7 - Chrome -  - Estado do Amazonas - Manaus - Brazil
 - Terça-Feira, 21 de Março de 2017 - 177.16.246.186 - Windows 7 - Chrome -  - Bahia - Salvador - Brazil
 - Terça-Feira, 21 de Março de 2017 - 187.60.133.140 - Unknown OS Platform - Chrome -  - Minas Gerais - Lavras - Brazil
 - Terça-Feira, 21 de Março de 2017 - 191.189.8.85 - Android - Handheld Browser -  - Estado do Amazonas - Manaus - Brazil
 - Terça-Feira, 21 de Março de 2017 - 187.119.185.110 - Windows 7 - Firefox -  -  -  - Brazil
 - Terça-Feira, 21 de Março de 2017 - 187.79.238.49 - Windows 7 - Chrome -  - Cear&aacute; -  - Brazil
 - Quarta-Feira, 22 de Março de 2017 - 201.6.231.145 - Unknown OS Platform - Chrome -  - S&atilde;o Paulo - S&atilde;o Paulo - Brazil
 - Quarta-Feira, 22 de Março de 2017 - 187.79.238.49 - Windows 7 - Chrome -  - Cear&aacute; -  - Brazil
 - Quarta-Feira, 22 de Março de 2017 - 152.239.77.159 - Android - Handheld Browser -  - Pernambuco - Recife - Brazil
 - Quarta-Feira, 22 de Março de 2017 - 179.252.224.119 - Windows 7 - Chrome -  - Santa Catarina -  - Brazil
 - Quarta-Feira, 22 de Março de 2017 - 187.79.14.232 - Windows 7 - Chrome -  - Maranh&atilde;o - Imperatriz - Brazil
 - Quarta-Feira, 22 de Março de 2017 - 191.184.109.150 - Android - Handheld Browser -  - S&atilde;o Paulo - Salto - Brazil
 - Quarta-Feira, 22 de Março de 2017 - 179.223.227.224 - Android - Handheld Browser -  - Par&aacute; - Ananindeua - Brazil
 - Quarta-Feira, 22 de Março de 2017 - 179.90.35.210 - Unknown OS Platform - Chrome -  - Par&aacute; -  - Brazil
 - Quarta-Feira, 22 de Março de 2017 - 201.14.131.50 - Windows 7 - Chrome -  - Santa Catarina -  - Brazil
 - Quarta-Feira, 22 de Março de 2017 - 179.234.138.187 - Windows 7 - Chrome -  - Rio Grande do Norte - Natal - Brazil
 - Quarta-Feira, 22 de Março de 2017 - 191.23.72.171 - Android - Handheld Browser -  - S&atilde;o Paulo -  - Brazil
 - Quarta-Feira, 22 de Março de 2017 - 177.1.18.214 - Windows 7 - Chrome -  -  -  - Brazil
 - Quarta-Feira, 22 de Março de 2017 - 189.107.89.68 - Unknown OS Platform - Chrome -  -  -  - Brazil
 - Quarta-Feira, 22 de Março de 2017 - 201.88.18.18 - Windows 7 - Chrome -  -  -  - Brazil
 - Quarta-Feira, 22 de Março de 2017 - 189.47.54.110 - Windows 7 - Firefox -  - S&atilde;o Paulo - Birigui - Brazil
 - Quarta-Feira, 22 de Março de 2017 - 187.39.229.112 - Unknown OS Platform - Chrome -  -  -  - Brazil
 - Quarta-Feira, 22 de Março de 2017 - 187.183.109.204 - Android - Handheld Browser -  - S&atilde;o Paulo - Itu - Brazil
 - Quarta-Feira, 22 de Março de 2017 - 191.193.111.123 - Windows 7 - Chrome -  - S&atilde;o Paulo -  - Brazil
 - Quarta-Feira, 22 de Março de 2017 - 191.249.92.40 - Android - Handheld Browser -  - Santa Catarina - Navegantes - Brazil
 - Quarta-Feira, 22 de Março de 2017 - 150.161.30.125 - Ubuntu - Firefox -  - Pernambuco - Recife - Brazil
 - Quarta-Feira, 22 de Março de 2017 - 186.227.37.186 - Windows 7 - Chrome -  - S&atilde;o Paulo -  - Brazil
 - Quarta-Feira, 22 de Março de 2017 - 179.145.204.148 - Windows 7 - Chrome -  - Minas Gerais - Santa Luzia - Brazil
 - Quarta-Feira, 22 de Março de 2017 - 179.145.204.148 - Windows 7 - Chrome -  - Minas Gerais - Santa Luzia - Brazil
 - Quarta-Feira, 22 de Março de 2017 - 152.238.189.253 - Windows 7 - Chrome -  - Minas Gerais - Lavras - Brazil
 - Quarta-Feira, 22 de Março de 2017 - 191.58.37.72 - Android - Handheld Browser -  - S&atilde;o Paulo - Guaruj&aacute; - Brazil
 - Quarta-Feira, 22 de Março de 2017 - 191.58.37.72 - Android - Handheld Browser -  - S&atilde;o Paulo - Guaruj&aacute; - Brazil
 - Quarta-Feira, 22 de Março de 2017 - 191.58.37.72 - Android - Handheld Browser -  - S&atilde;o Paulo -  - Brazil
 - Quarta-Feira, 22 de Março de 2017 - 179.89.156.14 - Windows 7 - Chrome -  - S&atilde;o Paulo - S&atilde;o Paulo - Brazil
 - Quinta-Feira, 23 de Março de 2017 - 186.207.119.98 - Windows 7 - Chrome -  - S&atilde;o Paulo - Sorocaba - Brazil
 - Quinta-Feira, 23 de Março de 2017 - 201.24.168.5 - iPhone - Handheld Browser -  -  -  - Brazil
 - Quinta-Feira, 23 de Março de 2017 - 177.177.31.18 - Android - Handheld Browser -  - Pernambuco - Petrolina - Brazil
 - Quinta-Feira, 23 de Março de 2017 - 191.33.244.149 - Android - Handheld Browser -  - Mato Grosso do Sul - Campo Grande - Brazil
 - Quinta-Feira, 23 de Março de 2017 - 179.251.50.183 - iPhone - Handheld Browser -  -  -  - Brazil
 - Quinta-Feira, 23 de Março de 2017 - 179.99.130.118 - Unknown OS Platform - Chrome -  - S&atilde;o Paulo -  - Brazil
 - Quinta-Feira, 23 de Março de 2017 - 177.201.13.13 - Android - Handheld Browser -  -  -  - Brazil
 - Quinta-Feira, 23 de Março de 2017 - 177.106.234.38 - Android - Handheld Browser -  - S&atilde;o Paulo - Ituverava - Brazil
 - Quinta-Feira, 23 de Março de 2017 - 187.20.198.188 - Android - Handheld Browser -  - Minas Gerais - Nova Lima - Brazil
 - Quinta-Feira, 23 de Março de 2017 - 187.32.24.105 - Windows 7 - Unknown Browser -  - Estado de Goi&aacute;s -  - Brazil
 - Quinta-Feira, 23 de Março de 2017 - 201.6.231.150 - Windows 7 - Chrome -  - S&atilde;o Paulo - S&atilde;o Paulo - Brazil
 - Quinta-Feira, 23 de Março de 2017 - 179.125.51.62 - Windows 7 - Chrome -  - Rio de Janeiro - Duque De Caxias - Brazil
 - Quinta-Feira, 23 de Março de 2017 - 201.11.82.100 - Android - Handheld Browser -  - Santa Catarina -  - Brazil
 - Quinta-Feira, 23 de Março de 2017 - 168.196.128.50 - Unknown OS Platform - Chrome -  - Santa Catarina -  - Brazil
 - Quinta-Feira, 23 de Março de 2017 - 200.187.4.128 - Windows 7 - Chrome -  - Bahia - Salvador - Brazil
 - Quinta-Feira, 23 de Março de 2017 - 177.35.192.196 - Windows 7 - Chrome -  - S&atilde;o Paulo - Franca - Brazil
 - Quinta-Feira, 23 de Março de 2017 - 177.35.192.196 - Windows 7 - Chrome -  - S&atilde;o Paulo - Franca - Brazil
 - Quinta-Feira, 23 de Março de 2017 - 179.179.116.183 - Windows 7 - Unknown Browser -  - Rio Grande do Sul - Canoas - Brazil
 - Sexta-Feira, 24 de Março de 2017 - 201.1.62.61 - Android - Handheld Browser -  -  -  - Brazil
 - Sexta-Feira, 24 de Março de 2017 - 201.1.62.61 - Android - Handheld Browser -  -  -  - Brazil
 - Sexta-Feira, 24 de Março de 2017 - 187.4.158.250 - Windows 7 - Chrome -  - Estado de Goi&aacute;s -  - Brazil
 - Sexta-Feira, 24 de Março de 2017 - 200.175.79.20 - Windows 7 - Firefox -  - Rio Grande do Sul - Porto Alegre - Brazil
 - Sexta-Feira, 24 de Março de 2017 - 200.97.27.196 - Unknown OS Platform - Chrome -  - Minas Gerais - Po&ccedil;os De Caldas - Brazil
 - Sexta-Feira, 24 de Março de 2017 - 200.243.232.6 - Unknown OS Platform - Chrome -  -  -  - Brazil
 - Sexta-Feira, 24 de Março de 2017 - 191.249.133.11 - Android - Handheld Browser -  - Minas Gerais - Ipatinga - Brazil
 - Sexta-Feira, 24 de Março de 2017 - 201.86.193.17 - Windows 7 - Chrome -  - Rio Grande do Sul - Porto Alegre - Brazil
 - Sexta-Feira, 24 de Março de 2017 - 201.86.193.17 - Windows 7 - Chrome -  - Rio Grande do Sul - Porto Alegre - Brazil
 - Sexta-Feira, 24 de Março de 2017 - 179.187.111.177 - Windows XP - Chrome -  - Distrito Federal - Sobradinho - Brazil
